id,name,team_name,team_id,aliases
1,Brandon Bass,Boston Celtics,1,
2,Avery Bradley,Boston Celtics,1,
3,Jordan Crawford,Boston Celtics,1,
4,Kevin Garnett,Boston Celtics,1,
5,Jeff Green,Boston Celtics,1,
6,Courtney Lee,Boston Celtics,1,
7,Fab Melo,Boston Celtics,1,
8,Paul Pierce,Boston Celtics,1,
9,Shavlik Randolph,Boston Celtics,1,
10,Rajon Rondo,Boston Celtics,1,
11,Jared Sullinger,Boston Celtics,1,
12,Jason Terry,Boston Celtics,1,
13,DJ White,Boston Celtics,1,
14,Chris Wilcox,Boston Celtics,1,
15,Terrence Williams,Boston Celtics,1,
16,C.J. Watson,Brooklyn Nets,2,
17,Gerald Wallace,Brooklyn Nets,2,
18,Mirza Teletovic,Brooklyn Nets,2,
19,Tyshawn Taylor,Brooklyn Nets,2,
20,Jerry Stackhouse,Brooklyn Nets,2,
21,Tornike Shengelia,Brooklyn Nets,2,
22,Brook Lopez,Brooklyn Nets,2,
23,Kris Joseph,Brooklyn Nets,2,
24,Joe Johnson,Brooklyn Nets,2,
25,Kris Humphries,Brooklyn Nets,2,
26,Reggie Evans,Brooklyn Nets,2,
27,MarShon Brooks,Brooklyn Nets,2,
28,Keith Bogans,Brooklyn Nets,2,
29,Andray Blatche,Brooklyn Nets,2,
30,Deron Williams,Brooklyn Nets,2,
31,Carmelo Anthony,New York Knicks,3,
32,Earl Barron,New York Knicks,3,
33,Marcus Camby,New York Knicks,3,
34,Tyson Chandler,New York Knicks,3,
35,Chris Copeland,New York Knicks,3,
36,Raymond Felton,New York Knicks,3,
37,Jason Kidd,New York Knicks,3,
38,Kenyon Martin,New York Knicks,3,"[""k mart""]"
39,Steve Novak,New York Knicks,3,
40,Pablo Prigioni,New York Knicks,3,
41,Quentin Richardson,New York Knicks,3,
42,Iman Shumpert,New York Knicks,3,
43,J.R. Smith,New York Knicks,3,
44,Amar'e Stoudemire,New York Knicks,3,
45,James White,New York Knicks,3,
46,Thaddeus Young,Philadelphia 76ers,4,
47,Lavoy Allen,Philadelphia 76ers,4,
48,Kwame Brown,Philadelphia 76ers,4,
49,Andrew Bynum,Philadelphia 76ers,4,
50,Spencer Hawes,Philadelphia 76ers,4,
51,Jrue Holiday,Philadelphia 76ers,4,
52,Justin Holiday,Philadelphia 76ers,4,
53,Royal Ivey,Philadelphia 76ers,4,
54,Charles Jenkins,Philadelphia 76ers,4,
55,Arnett Moultrie,Philadelphia 76ers,4,
56,Jason Richardson,Philadelphia 76ers,4,
57,Evan Turner,Philadelphia 76ers,4,
58,Damien Wilkins,Philadelphia 76ers,4,
59,Dorell Wright,Philadelphia 76ers,4,
60,Nick Young,Philadelphia 76ers,4,
61,Quincy Acy,Toronto Raptors,5,
62,Alan Anderson,Toronto Raptors,5,
63,Andrea Bargnani,Toronto Raptors,5,
64,DeMar DeRozan,Toronto Raptors,5,
65,Landry Fields,Toronto Raptors,5,
66,Rudy Gay,Toronto Raptors,5,
67,Aaron Gray,Toronto Raptors,5,
68,Amir Johnson,Toronto Raptors,5,
69,Linas Kleiza,Toronto Raptors,5,
70,Kyle Lowry,Toronto Raptors,5,
71,John Lucas,Toronto Raptors,5,
72,Mickael Pietrus,Toronto Raptors,5,
73,Terrence Ross,Toronto Raptors,5,
74,Sebastian Telfair,Toronto Raptors,5,
75,Jonas Valanciunas,Toronto Raptors,5,
76,Steve Blake,Los Angeles Lakers,6,
77,Kobe Bryant,Los Angeles Lakers,6,
78,Earl Clark,Los Angeles Lakers,6,
79,Chris Duhon,Los Angeles Lakers,6,
80,Devin Ebanks,Los Angeles Lakers,6,
81,Pau Gasol,Los Angeles Lakers,6,
82,Andrew Goudelock,Los Angeles Lakers,6,
83,Jordan Hill,Los Angeles Lakers,6,
84,Dwight Howard,Los Angeles Lakers,6,
85,Antawn Jamison,Los Angeles Lakers,6,
86,Jodie Meeks,Los Angeles Lakers,6,
87,Darius Morris,Los Angeles Lakers,6,
88,Steve Nash,Los Angeles Lakers,6,
89,Robert Sacre,Los Angeles Lakers,6,
90,Metta World Peace,Los Angeles Lakers,6,
91,Harrison Barnes,Golden State Warriors,7,
92,Kent Bazemore,Golden State Warriors,7,
93,Andris Biedrins,Golden State Warriors,7,
94,Andrew Bogut,Golden State Warriors,7,
95,Stephen Curry,Golden State Warriors,7,
96,Festus Ezeli,Golden State Warriors,7,
97,Draymond Green,Golden State Warriors,7,
98,Jarrett Jack,Golden State Warriors,7,
99,Richard Jefferson,Golden State Warriors,7,
100,Dwayne Jones,Golden State Warriors,7,
101,Carl Landry,Golden State Warriors,7,
102,David Lee,Golden State Warriors,7,
103,Scott Machado,Golden State Warriors,7,
104,Brandon Rush,Golden State Warriors,7,
105,Klay Thompson,Golden State Warriors,7,
106,Matt Barnes,Los Angeles Clippers,8,
107,Chauncey Billups,Los Angeles Clippers,8,
108,Eric Bledsoe,Los Angeles Clippers,8,
109,Caron Butler,Los Angeles Clippers,8,
110,Jamal Crawford,Los Angeles Clippers,8,
111,Willie Green,Los Angeles Clippers,8,
112,Blake Griffin,Los Angeles Clippers,8,
113,Grant Hill,Los Angeles Clippers,8,
114,Ryan Hollins,Los Angeles Clippers,8,
115,DeAndre Jordan,Los Angeles Clippers,8,
116,Lamar Odom,Los Angeles Clippers,8,
117,Chris Paul,Los Angeles Clippers,8,
118,DaJuan Summers,Los Angeles Clippers,8,
119,Ronny Turiaf,Los Angeles Clippers,8,
120,Maalik Wayns,Los Angeles Clippers,8,
121,Michael Beasley,Phoenix Suns,9,
122,Shannon Brown,Phoenix Suns,9,
123,Goran Dragic,Phoenix Suns,9,
124,Jared Dudley,Phoenix Suns,9,
125,Channing Frye,Phoenix Suns,9,
126,Diante Garrett,Phoenix Suns,9,
127,Marcin Gortat,Phoenix Suns,9,
128,Hamed Haddadi,Phoenix Suns,9,
129,Wesley Johnson,Phoenix Suns,9,
130,Kendall Marshall,Phoenix Suns,9,
131,Marcus Morris,Phoenix Suns,9,
132,Markieff Morris,Phoenix Suns,9,
133,Jermaine O'Neal,Phoenix Suns,9,
134,Luis Scola,Phoenix Suns,9,
135,P.J. Tucker,Phoenix Suns,9,
136,Cole Aldrich,Sacramento Kings,10,
137,DeMarcus Cousins,Sacramento Kings,10,
138,Toney Douglas,Sacramento Kings,10,
139,Tyreke Evans,Sacramento Kings,10,
140,Jimmer Fredette,Sacramento Kings,10,
141,Chuck Hayes,Sacramento Kings,10,
142,James Johnson,Sacramento Kings,10,
143,Travis Outlaw,Sacramento Kings,10,
144,Patrick Patterson,Sacramento Kings,10,
145,John Salmons,Sacramento Kings,10,
146,Isaiah Thomas,Sacramento Kings,10,
147,Jason Thompson,Sacramento Kings,10,
148,Marcus Thornton,Sacramento Kings,10,
149,Marco Belinelli,Chicago Bulls,11,
150,Carlos Boozer,Chicago Bulls,11,
151,Jimmy Butler,Chicago Bulls,11,
152,Daequan Cook,Chicago Bulls,11,
153,Luol Deng,Chicago Bulls,11,
154,Taj Gibson,Chicago Bulls,11,
155,Richard Hamilton,Chicago Bulls,11,
156,Kirk Hinrich,Chicago Bulls,11,
157,Nazr Mohammed,Chicago Bulls,11,
158,Joakim Noah,Chicago Bulls,11,
159,Vladimir Radmanovic,Chicago Bulls,11,
160,Nate Robinson,Chicago Bulls,11,
161,Derrick Rose,Chicago Bulls,11,"[""d rose""]"
162,Marquis Teague,Chicago Bulls,11,
163,Malcolm Thomas,Chicago Bulls,11,
164,Omri Casspi,Cleveland Cavaliers,12,
165,Wayne Ellington,Cleveland Cavaliers,12,
166,Alonzo Gee,Cleveland Cavaliers,12,
167,Daniel Gibson,Cleveland Cavaliers,12,
168,Kyrie Irving,Cleveland Cavaliers,12,
169,Kevin Jones,Cleveland Cavaliers,12,
170,Shaun Livingston,Cleveland Cavaliers,12,
171,C.J. Miles,Cleveland Cavaliers,12,
172,Chris Quinn,Cleveland Cavaliers,12,
173,Marreese Speights,Cleveland Cavaliers,12,
174,Tristan Thompson,Cleveland Cavaliers,12,
175,Anderson Varejao,Cleveland Cavaliers,12,
176,Dion Waiters,Cleveland Cavaliers,12,
177,Luke Walton,Cleveland Cavaliers,12,
178,Tyler Zeller,Cleveland Cavaliers,12,
179,Will Bynum,Detroit Pistons,13,
180,Jose Calderon,Detroit Pistons,13,
181,Andre Drummond,Detroit Pistons,13,
182,Kim English,Detroit Pistons,13,
183,Jonas Jerebko,Detroit Pistons,13,
184,Brandon Knight,Detroit Pistons,13,
185,Viacheslav Kravtsov,Detroit Pistons,13,
186,Corey Maggette,Detroit Pistons,13,
187,Jason Maxiell,Detroit Pistons,13,
188,Khris Middleton,Detroit Pistons,13,
189,Greg Monroe,Detroit Pistons,13,
190,Kyle Singler,Detroit Pistons,13,
191,Rodney Stuckey,Detroit Pistons,13,
192,Charlie Villanueva,Detroit Pistons,13,
193,D.J. Augustin,Indiana Pacers,14,
194,Paul George,Indiana Pacers,14,
195,Danny Granger,Indiana Pacers,14,
196,Gerald Green,Indiana Pacers,14,
197,Ben Hansbrough,Indiana Pacers,14,
198,Tyler Hansbrough,Indiana Pacers,14,
199,Roy Hibbert,Indiana Pacers,14,
200,George Hill,Indiana Pacers,14,
201,Orlando Johnson,Indiana Pacers,14,
202,Ian Mahinmi,Indiana Pacers,14,
203,Jeff Pendergraph,Indiana Pacers,14,
204,Miles Plumlee,Indiana Pacers,14,
205,Lance Stephenson,Indiana Pacers,14,
